"","F2","F6","F9","F11","F20","F26","F27","F28","F31","F33","F127","F201","F202"
"13741","Красноярск (Октябрьский район)",2016-10-25,0,"Город","Площадка для мусора, мусор на территории жилой зоны","Не указана","На контейнерной площадке","Не установлена","Материал не указан","Причина не указана",0,0,1
"13742","Красноярск (Октябрьский район)",2016-10-26,0,"Город","Площадка для мусора, мусор на территории жилой зоны","Не указана","На территории домовладения","Не установлена","Материал не указан","Причина не указана",0,0,1
"13743","Красноярск (Октябрьский район)",2016-10-27,0,"Город","Контейнер, бак, накопитель для мусора","Не указана","В контейнерах для сбора мусора (урнах)","Не установлена","Материал не указан","Причина не указана",0,0,1
"13744","Красноярск (Октябрьский район)",2016-10-28,0,"Город","Многоквартирный жилой дом","II","Мусоропровод","Пол","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,1,0
"13745","Красноярск (Октябрьский район)",2016-10-28,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Не установлена","Материал не указан","Причина не указана",0,0,1
"13746","Красноярск (Октябрьский район)",2016-10-30,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Не установлена","Материал не указан","Причина не указана",0,0,1
"13747","Красноярск (Октябрьский район)",2016-10-30,0,"Город","Контейнер, бак, накопитель для мусора","Не указана","В контейнерах для сбора мусора (урнах)","Не установлена","Материал не указан","Причина не указана",0,0,1
"13748","Красноярск (Октябрьский район)",2016-10-30,0,"Город","Площадка для мусора, мусор на территории жилой зоны","Не указана","На контейнерной площадке","Не установлена","Материал не указан","Причина не указана",0,0,1
"13749","Красноярск (Октябрьский район)",2016-10-31,0,"Город","Площадка для мусора, мусор на территории жилой зоны","Не указана","На контейнерной площадке","Не установлена","Материал не указан","Причина не указана",0,0,1
"13750","Красноярск (Октябрьский район)",2016-10-31,0,"Город","Площадка для мусора, мусор на территории жилой зоны","Не указана","На территории домовладения","Не установлена","Материал не указан","Причина не указана",0,0,1
"13751","Красноярск (Октябрьский район)",2016-11-01,0,"Город","Площадка для мусора, мусор на территории жилой зоны","Не указана","На территории домовладения","Не установлена","Материал не указан","Причина не указана",0,0,1
"13752","Красноярск (Октябрьский район)",2016-11-01,0,"Город","Контейнер, бак, накопитель для мусора","Не указана","В контейнерах для сбора мусора (урнах)","Не установлена","Материал не указан","Причина не указана",0,0,1
