"","F2","F6","F9","F11","F20","F26","F27","F28","F31","F33","F127","F201","F202"
"1731","Норильск",2016-04-07,0,"Город","Многоквартирный жилой дом","II","Лестничная клетка","Пол","ГЖ","Прочие причины, связанные с неосторожным обращением с огнем",0,1,0
"1732","Норильск",2016-04-10,0,"Город","Многоквартирный жилой дом","Не указана","На лестничной клетке жилого здания","Пол","Материал не указан","Причина не указана",0,0,1
"1733","Норильск",2016-04-05,0,"Город","Многоквартирный жилой дом","Не указана","В мусоропроводе жилого здания (мусоросборнике)","Пол","Материал не указан","Причина не указана",0,0,1
"1734","Норильск",2016-04-08,0,"Город","Площадка для мусора, мусор на территории жилой зоны","Не указана","На пустыре","Пол","Материал не указан","Причина не указана",0,0,1
"1735","Енисейский район",2016-04-10,0,"Населенный пункт городского типа","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1736","Енисейский район",2016-04-10,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1737","Каратузский район",2016-04-17,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Отсутствует","Сухая трава (сено, камыш и т.д.)","Не установлена","Отходы производства, прочие материалы (мусор)","Неустановленные причины",0,0,1
"1738","Уярский район",2016-04-07,0,"Сельский населенный пункт","Многоквартирный жилой дом","III","Веранда, терраса, тамбур","Не установлена","Деревянные, бумажные изделия, материалы","Нарушение правил монтажа электрооборудования",0,1,0
"1739","Каратузский район",2016-04-19,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Отсутствует","На свалке","Не установлена","Не установлен","Неустановленные причины",0,0,1
"1740","Ужурский район",2016-04-01,0,"Сельский населенный пункт","Многоквартирный жилой дом","V","Кухня","Пол","ГЖ","Умышленные действия по уничтожению (повреждению) имущества, нанесению вреда здоровью человека при помощи огня (поджог)",0,1,0
"1741","Ужурский район",2016-04-09,0,"Сельский населенный пункт","Легковой автомобиль","Отсутствует","Кабина водителя, машиниста","Не установлена","ГЖ","Умышленные действия по уничтожению (повреждению) имущества, нанесению вреда здоровью человека при помощи огня (поджог)",0,1,0
"1742","Ужурский район",2016-04-10,0,"Город","Надворная постройка","V","Пристройка к зданию","Стена, перегородка","Не установлен","Прочие причины, связанные с неосторожным обращением с огнем",0,1,0
"1743","Дивногорск",2016-04-17,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Отсутствует","На обочине дороги","Не установлена","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"1744","Дивногорск",2016-04-19,0,"Вне территории населенного пункта","Гараж, тент–укрытие и т.д.","V","Двор на территории домовладения","Стена, перегородка","Деревянные, бумажные изделия, материалы","Неосторожность при сжигании мусора, травы и иных изделий (материалов)",0,1,0
"1745","Дивногорск",2016-04-19,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Отсутствует","На пустыре","Не установлена","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"1746","Партизанский район",2016-04-12,0,"Сельский населенный пункт","Одноквартирный жилой дом","V","Кухня","Стена, перегородка","Строительные материалы","Нарушение правил технической эксплуатации и выбора аппаратов защиты электрических сетей",0,1,0
"1747","Ванавара",2016-04-09,0,"Вне территории населенного пункта","Вагончик для жилья, дом мобильного типа, палатка и другое строение","V","Прочие помещения","Пол","Прочие материалы","Прочие причины, связанные с неосторожным обращением с огнем",0,1,0
"1748","Ванавара",2016-04-12,0,"Сельский населенный пункт","Одноквартирный жилой дом","V","Комната, жилое, спальное помещение, палата","Потолочное перекрытие (подвесной потолок)","Отделочные материалы","Неправильное устройство или неисправность печи",0,1,0
"1749","Рыбинский район",2016-04-07,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","Сухая трава (сено, камыш и т.д.)","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1750","Рыбинский район",2016-04-09,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","Сухая трава (сено, камыш и т.д.)","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1751","Рыбинский район",2016-04-10,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На пустыре","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1752","Рыбинский район",2016-04-09,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","Сухая трава (сено, камыш и т.д.)","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1753","Рыбинский район",2016-04-09,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","Сухая трава (сено, камыш и т.д.)","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1754","Рыбинский район",2016-04-09,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","Сухая трава (сено, камыш и т.д.)","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1755","Рыбинский район",2016-04-09,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","Сухая трава (сено, камыш и т.д.)","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1756","Рыбинский район",2016-04-09,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","Сухая трава (сено, камыш и т.д.)","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1757","Рыбинский район",2016-04-09,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","Сухая трава (сено, камыш и т.д.)","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1758","Рыбинский район",2016-04-10,0,"Населенный пункт городского типа","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","Сухая трава (сено, камыш и т.д.)","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1759","Рыбинский район",2016-04-13,0,"Сельский населенный пункт","Надворная постройка","V","Подсобное помещение","Пол","Изоляционные материалы токоведущих частей","Недостаток конструкции и изготовления электрооборудования",0,1,0
"1760","Рыбинский район",2016-04-13,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","Сухая трава (сено, камыш и т.д.)","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1761","Рыбинский район",2016-04-16,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","Сухая трава (сено, камыш и т.д.)","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1762","Рыбинский район",2016-04-14,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1763","Рыбинский район",2016-04-15,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","Сухая трава (сено, камыш и т.д.)","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1764","Рыбинский район",2016-04-15,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","Сухая трава (сено, камыш и т.д.)","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1765","Рыбинский район",2016-04-07,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","Сухая трава (сено, камыш и т.д.)","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1766","Рыбинский район",2016-04-17,0,"Город","Площадка для мусора, мусор на территории жилой зоны","Не указана","На территории домовладения","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1767","Рыбинский район",2016-04-17,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На пустыре","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1768","Рыбинский район",2016-04-15,0,"Населенный пункт городского типа","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","Сухая трава (сено, камыш и т.д.)","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1769","Рыбинский район",2016-04-18,0,"Сельский населенный пункт","Одноквартирный жилой дом","V","Веранда, терраса, тамбур","Стена, перегородка","Деревянные, бумажные изделия, материалы","Умышленные действия по уничтожению (повреждению) имущества, нанесению вреда здоровью человека при помощи огня (поджог)",0,1,0
"1770","Рыбинский район",2016-04-19,0,"Вне территории населенного пункта","Легковой автомобиль","IV","Салон, кузов","Код конструкции не указан","Резинотехнические изделия и материалы","Неисправность систем, механизмов и узлов транспортного средства",0,1,0
"1771","Рыбинский район",2016-04-18,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","Сухая трава (сено, камыш и т.д.)","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1772","Рыбинский район",2016-04-18,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1773","Рыбинский район",2016-04-19,0,"Населенный пункт городского типа","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","Сухая трава (сено, камыш и т.д.)","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1774","Рыбинский район",2016-04-20,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","Сухая трава (сено, камыш и т.д.)","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1775","Рыбинский район",2016-04-20,0,"Город","Площадка для мусора, мусор на территории жилой зоны","Не указана","На пустыре","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1776","Рыбинский район",2016-04-20,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","Сухая трава (сено, камыш и т.д.)","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1777","Саянский район",2016-04-19,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Не установлена","Материал не указан","Причина не указана",0,0,1
"1778","Саянский район",2016-04-19,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Не установлена","Материал не указан","Причина не указана",0,0,1
"1779","Саянский район",2016-04-19,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Не установлена","Материал не указан","Причина не указана",0,0,1
"1780","Саянский район",2016-04-19,0,"Вне территории населенного пункта","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","Сухая трава (сено, камыш и т.д.)","Не установлена","Материал не указан","Причина не указана",0,0,1
"1781","Ирбейский район",2016-04-20,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Не установлена","Материал не указан","Причина не указана",0,0,1
"1782","Ирбейский район",2016-04-20,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На пустыре","Не установлена","Материал не указан","Причина не указана",0,0,1
"1783","Дзержинский район",2016-04-07,0,"Сельский населенный пункт","Многоквартирный жилой дом","V","Веранда, терраса, тамбур","Стена, перегородка","Деревянные, бумажные изделия, материалы","Недостаток конструкции и изготовления электрооборудования",0,1,0
"1784","Дзержинский район",2016-04-13,0,"Сельский населенный пункт","Многоквартирный жилой дом","V","Кухня","Потолочное перекрытие (подвесной потолок)","Деревянные, бумажные изделия, материалы","Недостаток конструкции и изготовления электрооборудования",0,1,0
"1785","Дзержинский район",2016-04-20,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","Сухая трава (сено, камыш и т.д.)","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1786","Енисейский район",2016-04-19,0,"Город","Легковой автомобиль","Отсутствует","Салон, кузов","Код конструкции не указан","Полимерные материалы","Умышленные действия по уничтожению (повреждению) имущества, нанесению вреда здоровью человека при помощи огня (поджог)",0,1,0
"1787","Енисейский район",2016-04-20,1,"Город","Многоквартирный жилой дом","V","Комната, жилое, спальное помещение, палата","Пол","Деревянные, бумажные изделия, материалы","Умышленные действия по уничтожению (повреждению) имущества, нанесению вреда здоровью человека при помощи огня (поджог)",48,1,0
"1788","Шарыповский район ",2016-04-14,0,"Сельский населенный пункт","Вагончик для жилья, дом мобильного типа, палатка и другое строение","V","Место на открытой территории, прилегающей к зданию","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,1,0
"1789","Шарыповский район",2016-04-16,0,"Город","Многоквартирный жилой дом","II","Комната, жилое, спальное помещение, палата","Пол","Одежда, текстиль, спальные принадлежности","Неосторожность при курении",0,1,0
"1790","Шарыповский район",2016-04-13,0,"Населенный пункт городского типа","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"1791","Шарыповский район",2016-04-14,0,"Населенный пункт городского типа","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На пустыре","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"1792","Шарыповский район",2016-04-14,0,"Населенный пункт городского типа","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На пустыре","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"1793","Шарыповский район ",2016-04-16,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"1794","Шарыповский район",2016-04-15,0,"Населенный пункт городского типа","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На свалке","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"1795","Шарыповский район",2016-04-17,0,"Населенный пункт городского типа","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"1796","Шарыповский район",2016-04-17,0,"Населенный пункт городского типа","Неэксплуатируемое здание (сооружение)","V","Бесхозное здание","Пол","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"1797","Шарыповский район",2016-04-18,0,"Населенный пункт городского типа","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На пустыре","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"1798","Шарыповский район",2016-04-19,0,"Населенный пункт городского типа","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"1799","Шарыповский район",2016-04-19,0,"Населенный пункт городского типа","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","Сухая трава (сено, камыш и т.д.)","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"1800","Шарыповский район",2016-04-19,0,"Населенный пункт городского типа","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","Сухая трава (сено, камыш и т.д.)","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"1801","Шарыповский район ",2016-04-19,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","Сухая трава (сено, камыш и т.д.)","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"1802","Шарыповский район",2016-04-19,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","Сухая трава (сено, камыш и т.д.)","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"1803","Шарыповский район",2016-04-19,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На свалке","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"1804","Шарыповский район ",2016-04-20,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На свалке","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"1805","Шарыповский район ",2016-04-20,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На свалке","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"1806","Шарыповский район",2016-04-20,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На пустыре","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"1807","Шарыповский район",2016-04-20,0,"Населенный пункт городского типа","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","Сухая трава (сено, камыш и т.д.)","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"1808","Шарыповский район",2016-04-20,0,"Населенный пункт городского типа","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"1809","Шарыповский район",2016-04-21,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","Сухая трава (сено, камыш и т.д.)","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"1810","Иланский район",2016-04-04,0,"Город","Прочий объект на открытой территории","Не указана","На пустыре","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1811","Иланский район",2016-04-04,0,"Город","Прочий объект на открытой территории","Не указана","На пустыре","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1812","Иланский район",2016-04-04,0,"Город","Прочий объект на открытой территории","Не указана","На пустыре","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1813","Иланский район",2016-04-07,0,"Город","Одноквартирный жилой дом","V","Наружный щит, реклама, фасад, стена здания","Стена, перегородка","Деревянные, бумажные изделия, материалы","Недостаток конструкции и изготовления электрооборудования",0,1,0
"1814","Иланский район",2016-04-09,0,"Город","Прочий объект на открытой территории","Не указана","На пустыре","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1815","Иланский район",2016-04-09,0,"Город","Прочий объект на открытой территории","Не указана","На пустыре","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1816","Иланский район",2016-04-17,0,"Город","Прочий объект на открытой территории","Не указана","На пустыре","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1817","Иланский район",2016-04-20,0,"Город","Прочий объект на открытой территории","Не указана","На пустыре","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1818","Иланский район",2016-04-21,0,"Город","Прочий объект на открытой территории","Не указана","На пустыре","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1819","Иланский район",2016-04-21,0,"Город","Прочий объект на открытой территории","Не указана","На пустыре","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1820","Иланский район",2016-04-21,0,"Город","Прочий объект на открытой территории","Не указана","На пустыре","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1821","Иланский район",2016-04-21,0,"Город","Прочий объект на открытой территории","Не указана","На пустыре","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1822","Иланский район",2016-04-21,0,"Город","Прочий объект на открытой территории","Не указана","На пустыре","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"1823","Туруханский район",2016-04-08,0,"Город","Гараж, тент–укрытие и т.д.","V","Помещение для хранения и ремонта транспорта (гараж)","Стена, перегородка","Отделочные материалы","Умышленные действия по уничтожению (повреждению) имущества, нанесению вреда здоровью человека при помощи огня (поджог)",0,1,0
"1824","Туруханский район",2016-04-12,0,"Сельский населенный пункт","Надворная постройка","V","Помещение для хранения и ремонта транспорта (гараж)","Стена, перегородка","Деревянные, бумажные изделия, материалы","Прочие причины, связанные с нарушением правил устройства и эксплуатации электрооборудования",0,1,0
"1825","Идринский район",2016-04-02,0,"Сельский населенный пункт","Неэксплуатируемое здание (сооружение)","V","Бесхозное здание","Пол","Деревянные, бумажные изделия, материалы","Умышленные действия по уничтожению (повреждению) имущества, нанесению вреда здоровью человека при помощи огня (поджог)",0,0,1
"1826","Идринский район",2016-04-19,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Отсутствует","На свалке","Не установлена","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"1827","Идринский район",2016-04-19,0,"Вне территории населенного пункта","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Отсутствует","Сухая трава (сено, камыш и т.д.)","Не установлена","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"1828","Идринский район",2016-04-19,0,"Сельский населенный пункт","Баня, сауна на территории домовладения","V","Сауна, парилка","Пол","Строительные материалы","Нарушение правил пожарной безопасности при эксплуатации бытовых электроприборов",0,1,0
"1829","Идринский район",2016-04-21,0,"Вне территории населенного пункта","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Отсутствует","Сухая трава (сено, камыш и т.д.)","Не установлена","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"1830","Ужурский район",2016-04-07,0,"Город","Прочий объект на открытой территории","Отсутствует","Сухая трава (сено, камыш и т.д.)","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
"1831","Ужурский район",2016-04-07,0,"Город","Прочий объект на открытой территории","Отсутствует","Сухая трава (сено, камыш и т.д.)","Код конструкции не указан","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,0,1
